,County,State,Outbreak Date,Flock Type,Flock Size
209,Pitkin,Colorado,12-06-2024,WOAH Non-Poultry,50
210,Todd,Minnesota,12-06-2023,Commercial Turkey Meat Bird,64000
211,Bon Homme,South Dakota,12-06-2023,Commercial Turkey Meat Bird,47600
212,Sonoma,California,12-06-2023,Commercial Table Egg Layer,232000
213,Hamlin,South Dakota,12-06-2023,Commercial Turkey Meat Bird,56200
214,Becker,Minnesota,12-06-2023,Commercial Breeder Operation,20600
215,Pawnee,Oklahoma,12-06-2022,WOAH Non-Poultry,30
216,Larimer,Colorado,12-06-2022,WOAH Non-Poultry,2
217,Lamoille,Vermont,12-06-2022,WOAH Non-Poultry,50
218,Denton,Texas,12-06-2022,WOAH Non-Poultry,40
219,Harrison,Missouri,12-06-2022,WOAH Non-Poultry,30
220,Merced,California,12-05-2024,Commercial Table Egg Layer,793700
221,Merced,California,12-05-2024,Commercial Table Egg Layer,306100
222,Merced,California,12-05-2024,Commercial Table Egg Layer,1723800
223,San Joaquin,California,12-05-2024,Commercial Duck Meat Bird,13000
224,Kingsbury,South Dakota,12-05-2023,WOAH Non-Poultry,370
225,Stanislaus,California,12-05-2023,Commercial Broiler Production,254400
226,Shawnee,Kansas,12-05-2023,WOAH Non-Poultry,70
227,Otter Tail,Minnesota,12-05-2023,Commercial Turkey Meat Bird,26300
228,Stanislaus,California,12-05-2023,Commercial Broiler Production,239900
229,Spink,South Dakota,12-05-2023,Commercial Turkey Meat Bird,26600
230,Lawrence,Alabama,12-05-2022,WOAH Non-Poultry,460
231,Charles Mix,South Dakota,12-05-2022,Commercial Turkey Meat Bird,34100
232,Clark,South Dakota,12-05-2022,Commercial Turkey Meat Bird,24300
233,Buena Vista,Iowa,12-05-2022,Commercial Turkey Meat Bird,40700
234,Stanislaus,California,12-04-2024,Commercial Turkey Meat Bird,57700
235,Riverside,California,12-04-2024,WOAH Non-Poultry,70
236,Charles Mix,South Dakota,12-04-2024,Commercial Turkey Meat Bird,65200
237,Stanislaus,California,12-04-2024,Commercial Turkey Meat Bird,23100
238,Stanislaus,California,12-04-2024,Commercial Table Egg Layer,720800
239,Sacramento,California,12-04-2024,Commercial Turkey Meat Bird,61200
240,Barron,Wisconsin,12-04-2023,Commercial Turkey Meat Bird,113800
241,Johnson,Arkansas,12-04-2023,Commercial Broiler Production,109000
242,Mcpherson,South Dakota,12-04-2023,Commercial Turkey Meat Bird,40800
243,Pottawatomie,Kansas,12-04-2023,WOAH Non-Poultry,30
244,Douglas,Kansas,12-03-2024,WOAH Non-Poultry,100
245,Adair,Oklahoma,12-03-2024,Commercial Broiler Breeder,63700
246,Utah,Utah,12-03-2024,WOAH Non-Poultry,30
247,Spink,South Dakota,12-03-2024,Commercial Turkey Meat Bird,41400
248,Mcpherson,South Dakota,12-03-2024,Commercial Turkey Meat Bird,78200
249,Fresno,California,12-03-2024,Commercial Broiler Production,237100
250,Bottineau,North Dakota,12-02-2024,WOAH Poultry,30
251,Union,North Carolina,12-02-2022,WOAH Non-Poultry,9
